Farmer_ID,Farmer_Name,State,District,Crop_Name,Season,Area_Cultivated_Acres,Expected_Yield_Tonnes,Actual_Yield_Tonnes,Market_Price_per_Tonne,Local_Market_Demand_Tonnes,State_Market_Demand_Tonnes,National_Demand_Tonnes,Soil_Type,Water_Usage_Liters_per_Acre,Fertilizer_Usage_kg_per_Acre,Sustainability_Score,Weather_Condition,Predicted_Demand_for_Next_Season_Tonnes,Overproduction_Risk,Date_Recorded
F00001,Deepak Gowda,Andhra Pradesh,Alluri Sitarama Raju,Mango,Summer,5.24,101.79,107.34,63092,364.31,15133.76,8610.46,Black,1250.09,39.41,80,Normal,411.48,High,2025-01-08
F00002,Swati Das,Andhra Pradesh,Alluri Sitarama Raju,Mango,Rabi,14.95,212.36,228.14,50509,507.4,13453.99,9251.79,Sandy,3039.65,111.82,73,Drought,600.42,Medium,2024-11-21
F00003,Arun Patil,Andhra Pradesh,Alluri Sitarama Raju,Mango,Rabi,11.5,223.99,215.96,46703,1179.73,13066.22,13834.88,Sandy,2312.4,67.91,69,Flood,1303.77,High,2025-03-25
F00004,Aarti Khan,Andhra Pradesh,Alluri Sitarama Raju,Mango,Summer,14.56,245.86,216.44,49525,1491.87,15517.84,30423.63,Sandy,4802.16,69.78,80,Normal,1668.31,High,2024-09-15
F00005,Praveen Patil,Andhra Pradesh,Alluri Sitarama Raju,Mango,Kharif,10.69,157.37,167.32,67140,1150.25,15537.44,12598.43,Laterite,2316.42,88.49,86,Drought,1338.62,High,2024-09-21
F00006,Deepak Das,Andhra Pradesh,Alluri Sitarama Raju,Mango,Kharif,14.9,270.99,234.53,78008,123.14,14209.39,3046.74,Laterite,2093.63,114.93,66,Heavy Rainfall,143.36,Low,2025-02-02
F00007,Aarti Nair,Andhra Pradesh,Alluri Sitarama Raju,Potato,Rabi,6.81,147.17,151.12,8151,1499.5,15316.35,29061.11,Alluvial,4390.38,56.5,80,Drought,1643.98,Low,2024-02-22
F00008,Swati Verma,Andhra Pradesh,Alluri Sitarama Raju,Banana,Rabi,4.51,94.86,90.24,11507,204.59,13256.83,4287.88,Sandy,2420.45,41.22,74,Drought,197.9,Medium,2024-04-20
F00009,Vikram Bhatt,Andhra Pradesh,Alluri Sitarama Raju,Mango,Summer,3.02,36.33,32.98,57106,1182.22,14221.14,29373.58,Sandy,3512.74,88.22,99,Dry,1238.48,Medium,2024-10-18
F00010,Pooja Naik,Andhra Pradesh,Alluri Sitarama Raju,Mango,Summer,5.49,52.26,57.0,61408,1375.19,13889.58,30642.67,Black,3255.1,103.63,93,Dry,1557.39,Medium,2025-09-29
F00011,Deepak Chaudhary,Andhra Pradesh,Alluri Sitarama Raju,Mango,Rabi,8.92,105.57,107.23,67310,692.74,13941.09,15571.11,Red,4545.4,75.67,93,Heavy Rainfall,687.73,High,2025-03-28
F00012,Rahul Singh,Andhra Pradesh,Alluri Sitarama Raju,Mango,Kharif,1.54,30.39,27.85,79817,112.51,13039.39,1698.5,Laterite,7210.2,35.02,79,Normal,120.3,High,2024-04-15
F00013,Rahul Verma,Andhra Pradesh,Alluri Sitarama Raju,Mango,Rabi,0.68,8.68,7.9,43565,1102.45,13878.0,20445.41,Sandy,7286.65,119.94,82,Flood,1065.77,Low,2025-07-28
F00014,Rajesh Bhatt,Andhra Pradesh,Alluri Sitarama Raju,Mango,Kharif,12.89,241.93,244.33,46568,1375.52,13212.19,16641.1,Alluvial,2412.69,86.83,87,Dry,1603.42,High,2025-09-18
F00015,Vikram Chaudhary,Andhra Pradesh,Alluri Sitarama Raju,Mango,Summer,3.81,63.13,59.06,52288,457.33,13987.04,8352.62,Red,4014.15,37.86,91,Normal,454.73,Medium,2024-04-20
